"2.1.2 Positive Cases Chg 7 Day","cases","2020-08-22","2020-03-21","222","43.5","true","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2071591","2071591","2020-06-01 00:00:00","2020-06-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2131294","2131294","2020-06-02 00:00:00","2020-06-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2182671","2182671","2020-06-03 00:00:00","2020-06-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2238463","2238463","2020-06-04 00:00:00","2020-06-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2308300","2308300","2020-06-05 00:00:00","2020-06-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2362218","2362218","2020-06-06 00:00:00","2020-06-23 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2431190","2431190","2020-06-07 00:00:00","2020-06-24 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2486245","2486245","2020-06-08 00:00:00","2020-06-25 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2540798","2540798","2020-06-09 00:00:00","2020-06-26 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2597647","2597647","2020-06-10 00:00:00","2020-06-27 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2662258","2662258","2020-06-11 00:00:00","2020-06-28 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2724393","2724393","2020-06-12 00:00:00","2020-06-29 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2801996","2801996","2020-06-13 00:00:00","2020-06-30 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2868182","2868182","2020-06-14 00:00:00","2020-07-01 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2937755","2937755","2020-06-15 00:00:00","2020-07-02 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2997988","2997988","2020-06-16 00:00:00","2020-07-03 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3074530","3074530","2020-06-17 00:00:00","2020-07-04 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3155702","3155702","2020-06-18 00:00:00","2020-07-05 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3234412","3234412","2020-06-19 00:00:00","2020-07-06 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3319256","3319256","2020-06-20 00:00:00","2020-07-07 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3411686","3411686","2020-06-21 00:00:00","2020-07-08 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3496929","3496929","2020-06-22 00:00:00","2020-07-09 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3592899","3592899","2020-06-23 00:00:00","2020-07-10 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3694345","3694345","2020-06-24 00:00:00","2020-07-11 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3771314","3771314","2020-06-25 00:00:00","2020-07-12 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3862310","3862310","2020-06-26 00:00:00","2020-07-13 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3955952","3955952","2020-06-27 00:00:00","2020-07-14 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4061692","4061692","2020-06-28 00:00:00","2020-07-15 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4167139","4167139","2020-06-29 00:00:00","2020-07-16 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4254176","4254176","2020-06-30 00:00:00","2020-07-17 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4338718","4338718","2020-07-01 00:00:00","2020-07-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4448176","4448176","2020-07-02 00:00:00","2020-07-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4553031","4553031","2020-07-03 00:00:00","2020-07-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4680138","4680138","2020-07-04 00:00:00","2020-07-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4793353","4793353","2020-07-05 00:00:00","2020-07-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4896370","4896370","2020-07-06 00:00:00","2020-07-23 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4996175","4996175","2020-07-07 00:00:00","2020-07-24 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5078434","5078434","2020-07-08 00:00:00","2020-07-25 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5175737","5175737","2020-07-09 00:00:00","2020-07-26 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5275695","5275695","2020-07-10 00:00:00","2020-07-27 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5406599","5406599","2020-07-11 00:00:00","2020-07-28 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5544365","5544365","2020-07-12 00:00:00","2020-07-29 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5674955","5674955","2020-07-13 00:00:00","2020-07-30 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5793276","5793276","2020-07-14 00:00:00","2020-07-31 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5915508","5915508","2020-07-15 00:00:00","2020-08-01 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6044099","6044099","2020-07-16 00:00:00","2020-08-02 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6167218","6167218","2020-07-17 00:00:00","2020-08-03 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6286852","6286852","2020-07-18 00:00:00","2020-08-04 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6414538","6414538","2020-07-19 00:00:00","2020-08-05 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6537511","6537511","2020-07-20 00:00:00","2020-08-06 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6664998","6664998","2020-07-21 00:00:00","2020-08-07 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6778304","6778304","2020-07-22 00:00:00","2020-08-08 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6915876","6915876","2020-07-23 00:00:00","2020-08-09 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7047355","7047355","2020-07-24 00:00:00","2020-08-10 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7168139","7168139","2020-07-25 00:00:00","2020-08-11 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7296578","7296578","2020-07-26 00:00:00","2020-08-12 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7417866","7417866","2020-07-27 00:00:00","2020-08-13 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7517466","7517466","2020-07-28 00:00:00","2020-08-14 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7633840","7633840","2020-07-29 00:00:00","2020-08-15 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7811041","7811041","2020-07-30 00:00:00","2020-08-16 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7886587","7886587","2020-07-31 00:00:00","2020-08-17 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8035975","8035975","2020-08-01 00:00:00","2020-08-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8184696","8184696","2020-08-02 00:00:00","2020-08-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8305713","8305713","2020-08-03 00:00:00","2020-08-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8409400","8409400","2020-08-04 00:00:00","2020-08-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8500463","8500463","2020-08-05 00:00:00","2020-08-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8596882","8596882","2020-08-06 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8707527","8707527","2020-08-07 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8826119","8826119","2020-08-08 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8998353","8998353","2020-08-09 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9186279","9186279","2020-08-10 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9303467","9303467","2020-08-11 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9445493","9445493","2020-08-12 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9556598","9556598","2020-08-13 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9681111","9681111","2020-08-14 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9798135","9798135","2020-08-15 00:00:00","","2020-03-21","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9933780","9933780","2020-08-16 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10049039","10049039","2020-08-17 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10140683","10140683","2020-08-18 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10227966","10227966","2020-08-19 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10329372","10329372","2020-08-20 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10436352","10436352","2020-08-21 00:00:00","","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10541031","10541031","2020-08-22 00:00:00","","","","","","","","","","","","","",""
"Week over Week Cases","cases","2020-08-22","2020-03-21","-0.375285599833833","true","67402","42107","","","","","","","","","","",""
"8.1.1 Deaths by Ethnicity","American Indian or Alaska Native","AIAN","0.003","0.003","0.003","0.003","37","American Indian or Alaska Native","Death %","American Indian or Alaska Native","AIAN","0.003","0.003","0.005","37","American Indian or Alaska Native","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Asian","Asian","0.119","0.119","0.119","0.119","1394","Asian","Death %","Asian","Asian","0.119","0.119","0.154","1394","Asian","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Black","Black","0.08","0.08","0.08","0.08","935","Black","Death %","Black","Black","0.08","0.08","0.06","935","Black","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Latino","Latino","0.481","0.481","0.481","0.481","5653","Latino","Death %","Latino","Latino","0.481","0.481","0.389","5653","Latino","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Native Hawaiian and other Pacific Islander","NHPI ","0.005","0.005","0.005","0.005","53","Native Hawaiian and other Pacific Islander","Death %","Native Hawaiian and other Pacific Islander","NHPI ","0.005","0.005","0.003","53","Native Hawaiian and other Pacific Islander","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","White","White","0.295","0.295","0.295","0.295","3466","White","Death %","White","White","0.295","0.295","0.366","3466","White","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Multi-Race","Multi-Race","0.006","0.006","0.006","0.006","74","Multi-Race","Death %","Multi-Race","Multi-Race","0.006","0.006","0.022","74","Multi-Race","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Other","Other","0.012","0.012","0.012","0.012","139","Other","Death %","Other","Other","0.012","0.012","","139","Other","CA Pop Percentage",""
"Rolling Avg Deaths 7 day","2020-08-22","2020-03-21","true","130","","","","","","","","","","","","","",""
"8.1.2 Deaths by Age","0-17","0-17","2","","","","DEATHS_PERCENT","0-17","0-17","222","","","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","18-49","18-49","866","7.2","7.2","7.2","DEATHS_PERCENT","18-49","18-49","580","7.2","7.2","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","50-64","50-64","2204","18.5","18.5","18.5","DEATHS_PERCENT","50-64","50-64","471","18.5","18.5","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","65+","65+","8870","74.3","74.3","74.3","DEATHS_PERCENT","65+","65+","795","74.3","74.3","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","Missing","Missing","3","","","","DEATHS_PERCENT","Missing","Missing","842","","","CA_PERCENT","","","","",""
"2.1.1 Deaths","12134","","","","","","","","","","","","","","","","",""
"US Total Cases","5598547","","","","","","","","","","","","","","","","",""
"2.1.2 Positive Cases Chg 14 day","cases","2020-08-22","2020-03-21","244","18.4","true","","","","","","","","","","","",""
"2.1.2 Deaths Chg 14 day","2020-08-22","2020-03-21","true","","","","","","","","","","","","","","",""
"2.1.2 Deaths Chg","2020-08-22","2020-03-21","0.458768636074117","true","","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg","2020-08-23","true","19","0.0647407789527986","","","","","","","","","","","","","",""
"8.1.1 Cases by Ethnicity","American Indian or Alaska Native","AIAN","1041","0.002","0.002","0.002","0.002","American Indian or Alaska Native","Case %","3/27","0.002","0.002","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Asian","Asian","23584","0.054","0.054","0.054","0.054","Asian","Case %","3/28","0.054","0.054","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Black","Black","18651","0.043","0.043","0.043","0.043","Black","Case %","3/29","0.043","0.043","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Latino","Latino","260163","0.596","0.596","0.596","0.596","Latino","Case %","3/30","0.596","0.596","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Native Hawaiian and other Pacific Islander","NHPI ","2498","0.006","0.006","0.006","0.006","Native Hawaiian and other Pacific Islander","Case %","3/31","0.006","0.006","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","White","White","73561","0.168","0.168","0.168","0.168","White","Case %","4/1","0.168","0.168","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Multi-Race","Multi-Race","3843","0.009","0.009","0.009","0.009","Multi-Race","Case %","4/2","0.009","0.009","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Other","Other","53280","0.122","0.122","0.122","0.122","Other","Case %","Maximum Extend Axis = <Value>","0.122","0.122","Min. CA Pop Percentage","","","","",""
"Rolling Avg Deaths 14 day","2020-08-22","2020-03-21","true","131.5","","","","","","","","","","","","","",""
"2.1.2 Positive Cases Chg","cases","2020-08-22","2020-03-21","40129160","331","19","244","27.2891333882892","true","","","","","","","","",""
"Disclaimer","40129160","","","","","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg 14 day","2020-08-23","true","0.0638569209382172","","","","","","","","","","","","","","",""
