"8.1.1 Deaths by Ethnicity","Latino","Latino","0.461","0.461","0.461","0.461","4043","Latino","Death %","Latino","Latino","0.461","0.461","0.389","4043","Latino","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Native Hawaiian and other Pacific Islander","NHPI ","0.005","0.005","0.005","0.005","47","Native Hawaiian and other Pacific Islander","Death %","Native Hawaiian and other Pacific Islander","NHPI ","0.005","0.005","0.003","47","Native Hawaiian and other Pacific Islander","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","White","White","0.3","0.3","0.3","0.3","2633","White","Death %","White","White","0.3","0.3","0.366","2633","White","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Multi-Race","Multi-Race","0.006","0.006","0.006","0.006","49","Multi-Race","Death %","Multi-Race","Multi-Race","0.006","0.006","0.022","49","Multi-Race","CA Pop Percentage",""
"8.1.1 Deaths by Ethnicity","Other","Other","0.013","0.013","0.013","0.013","118","Other","Death %","Other","Other","0.013","0.013","","118","Other","CA Pop Percentage",""
"8.1.2 Deaths by Age","0-17","0-17","","","","","DEATHS_PERCENT","0-17","0-17","7304","","","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","18-49","18-49","637","7.1","7.1","7.1","DEATHS_PERCENT","18-49","18-49","6273","7.1","7.1","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","50-64","50-64","1569","17.6","17.6","17.6","DEATHS_PERCENT","50-64","50-64","6107","17.6","17.6","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","65+","65+","6733","75.3","75.3","75.3","DEATHS_PERCENT","65+","65+","5369","75.3","75.3","CA_PERCENT","","","","",""
"8.1.2 Deaths by Age","Missing","Missing","","","","","DEATHS_PERCENT","Missing","Missing","9708","","","CA_PERCENT","","","","",""
"Rolling Avg Deaths 7 day","2020-07-30","2020-05-22","true","117","","","","","","","","","","","","","",""
"2.1.1 Deaths","9005","","","","","","","","","","","","","","","","",""
"2.1.2 Deaths Chg","2020-07-30","2020-05-22","0.381268882777511","true","","","","","","","","","","","","","",""
"2.1.2 Deaths Chg 14 day","2020-07-30","2020-05-22","true","","","","","","","","","","","","","","",""
"2.1.2 Positive Cases Chg 14 day","cases","2020-07-30","2020-05-22","795","true","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg","2020-07-31","true","0.0456317966602897","","","","","","","","","","","","","","",""
"8.1.1 Cases by Ethnicity","American Indian or Alaska Native","AIAN","747","0.002","0.002","0.002","0.002","American Indian or Alaska Native","Case %","San Luis Obispo","0.002","0.002","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Asian","Asian","17323","0.054","0.054","0.054","0.054","Asian","Case %","Yolo","0.054","0.054","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Black","Black","13622","0.043","0.043","0.043","0.043","Black","Case %","Santa Cruz","0.043","0.043","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Latino","Latino","181443","0.57","0.57","0.57","0.57","Latino","Case %","Butte","0.57","0.57","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Native Hawaiian and other Pacific Islander","NHPI ","1877","0.006","0.006","0.006","0.006","Native Hawaiian and other Pacific Islander","Case %","Napa","0.006","0.006","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","White","White","55238","0.174","0.174","0.174","0.174","White","Case %","Sutter","0.174","0.174","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Multi-Race","Multi-Race","2544","0.008","0.008","0.008","0.008","Multi-Race","Case %","El Dorado","0.008","0.008","Min. CA Pop Percentage","","","","",""
"8.1.1 Cases by Ethnicity","Other","Other","45547","0.143","0.143","0.143","0.143","Other","Case %","Santa Clara","0.143","0.143","Min. CA Pop Percentage","","","","",""
"2.1.2 Positive Cases Chg","cases","2020-07-30","2020-05-22","40129160","580","795","31.7534680516612","true","","","","","","","","","",""
"Rolling Avg Deaths 14 day","2020-07-30","2020-05-22","true","109.285714285714","","","","","","","","","","","","","",""
"1.1 County Stats Bars","Los Angeles","Los Angeles","Positive Cases","Cases","Positive Cases","186177","186177","186177","186177","","","","","","","","",""
"1.1 County Stats Bars","Riverside","Riverside","Positive Cases","Cases","Positive Cases","37308","37308","37308","37308","","","","","","","","",""
"1.1 County Stats Bars","Orange","Orange","Positive Cases","Cases","Positive Cases","36105","36105","36105","36105","","","","","","","","",""
"1.1 County Stats Bars","San Bernardino","San Bernardino","Positive Cases","Cases","Positive Cases","32010","32010","32010","32010","","","","","","","","",""
"1.1 County Stats Bars","San Diego","San Diego","Positive Cases","Cases","Positive Cases","28670","28670","28670","28670","","","","","","","","",""
"1.1 County Stats Bars","Kern","Kern","Positive Cases","Cases","Positive Cases","19552","19552","19552","19552","","","","","","","","",""
"1.1 County Stats Bars","Fresno","Fresno","Positive Cases","Cases","Positive Cases","14793","14793","14793","14793","","","","","","","","",""
"1.1 County Stats Bars","San Joaquin","San Joaquin","Positive Cases","Cases","Positive Cases","11435","11435","11435","11435","","","","","","","","",""
"1.1 County Stats Bars","Alameda","Alameda","Positive Cases","Cases","Positive Cases","11303","11303","11303","11303","","","","","","","","",""
"1.1 County Stats Bars","Santa Clara","Santa Clara","Positive Cases","Cases","Positive Cases","9708","9708","9708","9708","","","","","","","","",""
"1.1 County Stats Bars","Sacramento","Sacramento","Positive Cases","Cases","Positive Cases","9704","9704","9704","9704","","","","","","","","",""
"1.1 County Stats Bars","Tulare","Tulare","Positive Cases","Cases","Positive Cases","9167","9167","9167","9167","","","","","","","","",""
"1.1 County Stats Bars","Stanislaus","Stanislaus","Positive Cases","Cases","Positive Cases","8890","8890","8890","8890","","","","","","","","",""
"1.1 County Stats Bars","Imperial","Imperial","Positive Cases","Cases","Positive Cases","7849","7849","7849","7849","","","","","","","","",""
"1.1 County Stats Bars","Contra Costa","Contra Costa","Positive Cases","Cases","Positive Cases","7615","7615","7615","7615","","","","","","","","",""
"1.1 County Stats Bars","Ventura","Ventura","Positive Cases","Cases","Positive Cases","7304","7304","7304","7304","","","","","","","","",""
"1.1 County Stats Bars","Santa Barbara","Santa Barbara","Positive Cases","Cases","Positive Cases","6273","6273","6273","6273","","","","","","","","",""
"1.1 County Stats Bars","San Francisco","San Francisco","Positive Cases","Cases","Positive Cases","6107","6107","6107","6107","","","","","","","","",""
"1.1 County Stats Bars","San Mateo","San Mateo","Positive Cases","Cases","Positive Cases","5369","5369","5369","5369","","","","","","","","",""
"1.1 County Stats Bars","Marin","Marin","Positive Cases","Cases","Positive Cases","4835","4835","4835","4835","","","","","","","","",""
"1.1 County Stats Bars","Monterey","Monterey","Positive Cases","Cases","Positive Cases","4352","4352","4352","4352","","","","","","","","",""
"1.1 County Stats Bars","Kings","Kings","Positive Cases","Cases","Positive Cases","3785","3785","3785","3785","","","","","","","","",""
"1.1 County Stats Bars","Merced","Merced","Positive Cases","Cases","Positive Cases","3695","3695","3695","3695","","","","","","","","",""
"1.1 County Stats Bars","Solano","Solano","Positive Cases","Cases","Positive Cases","3463","3463","3463","3463","","","","","","","","",""
"1.1 County Stats Bars","Sonoma","Sonoma","Positive Cases","Cases","Positive Cases","2684","2684","2684","2684","","","","","","","","",""
"1.1 County Stats Bars","Madera","Madera","Positive Cases","Cases","Positive Cases","2007","2007","2007","2007","","","","","","","","",""
"1.1 County Stats Bars","Placer","Placer","Positive Cases","Cases","Positive Cases","1821","1821","1821","1821","","","","","","","","",""
"1.1 County Stats Bars","San Luis Obispo","San Luis Obispo","Positive Cases","Cases","Positive Cases","1703","1703","1703","1703","","","","","","","","",""
"1.1 County Stats Bars","Yolo","Yolo","Positive Cases","Cases","Positive Cases","1511","1511","1511","1511","","","","","","","","",""
"1.1 County Stats Bars","Santa Cruz","Santa Cruz","Positive Cases","Cases","Positive Cases","1087","1087","1087","1087","","","","","","","","",""
"1.1 County Stats Bars","Butte","Butte","Positive Cases","Cases","Positive Cases","915","915","915","915","","","","","","","","",""
"1.1 County Stats Bars","Napa","Napa","Positive Cases","Cases","Positive Cases","874","874","874","874","","","","","","","","",""
"1.1 County Stats Bars","Sutter","Sutter","Positive Cases","Cases","Positive Cases","698","698","698","698","","","","","","","","",""
"1.1 County Stats Bars","El Dorado","El Dorado","Positive Cases","Cases","Positive Cases","608","608","608","608","","","","","","","","",""
"1.1 County Stats Bars","San Benito","San Benito","Positive Cases","Cases","Positive Cases","558","558","558","558","","","","","","","","",""
"1.1 County Stats Bars","Lassen","Lassen","Positive Cases","Cases","Positive Cases","544","544","544","544","","","","","","","","",""
"1.1 County Stats Bars","Yuba","Yuba","Positive Cases","Cases","Positive Cases","362","362","362","362","","","","","","","","",""
"1.1 County Stats Bars","Colusa","Colusa","Positive Cases","Cases","Positive Cases","315","315","315","315","","","","","","","","",""
"1.1 County Stats Bars","Shasta","Shasta","Positive Cases","Cases","Positive Cases","306","306","306","306","","","","","","","","",""
"1.1 County Stats Bars","Glenn","Glenn","Positive Cases","Cases","Positive Cases","297","297","297","297","","","","","","","","",""
"1.1 County Stats Bars","Nevada","Nevada","Positive Cases","Cases","Positive Cases","292","292","292","292","","","","","","","","",""
"1.1 County Stats Bars","Mendocino","Mendocino","Positive Cases","Cases","Positive Cases","232","232","232","232","","","","","","","","",""
"1.1 County Stats Bars","Humboldt","Humboldt","Positive Cases","Cases","Positive Cases","228","228","228","228","","","","","","","","",""
"1.1 County Stats Bars","Tehama","Tehama","Positive Cases","Cases","Positive Cases","208","208","208","208","","","","","","","","",""
"1.1 County Stats Bars","Lake","Lake","Positive Cases","Cases","Positive Cases","181","181","181","181","","","","","","","","",""
"1.1 County Stats Bars","Tuolumne","Tuolumne","Positive Cases","Cases","Positive Cases","119","119","119","119","","","","","","","","",""
"1.1 County Stats Bars","Calaveras","Calaveras","Positive Cases","Cases","Positive Cases","111","111","111","111","","","","","","","","",""
"1.1 County Stats Bars","Mono","Mono","Positive Cases","Cases","Positive Cases","104","104","104","104","","","","","","","","",""
"1.1 County Stats Bars","Amador","Amador","Positive Cases","Cases","Positive Cases","97","97","97","97","","","","","","","","",""
"1.1 County Stats Bars","Del Norte","Del Norte","Positive Cases","Cases","Positive Cases","68","68","68","68","","","","","","","","",""
"1.1 County Stats Bars","Siskiyou","Siskiyou","Positive Cases","Cases","Positive Cases","60","60","60","60","","","","","","","","",""
"1.1 County Stats Bars","Mariposa","Mariposa","Positive Cases","Cases","Positive Cases","49","49","49","49","","","","","","","","",""
"1.1 County Stats Bars","Inyo","Inyo","Positive Cases","Cases","Positive Cases","44","44","44","44","","","","","","","","",""
"1.1 County Stats Bars","Plumas","Plumas","Positive Cases","Cases","Positive Cases","25","25","25","25","","","","","","","","",""
"1.1 County Stats Bars","Trinity","Trinity","Positive Cases","Cases","Positive Cases","4","4","4","4","","","","","","","","",""
"1.1 County Stats Bars","Unassigned","Unassigned","Positive Cases","Cases","Positive Cases","4","4","4","4","","","","","","","","",""
"1.1 County Stats Bars","Alpine","Alpine","Positive Cases","Cases","Positive Cases","2","2","2","2","","","","","","","","",""
"1.1 County Stats Bars","Sierra","Sierra","Positive Cases","Cases","Positive Cases","1","1","1","1","","","","","","","","",""
"1.1 County Stats Bars","Modoc","Modoc","Positive Cases","Cases","Positive Cases","","","","","","","","","","","","",""
"1.1 County Stats Bars","Out Of Country","Out Of Country","Positive Cases","Cases","Positive Cases","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg 14 day","2020-07-31","true","0.0721155533118801","","","","","","","","","","","","","","",""
